"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","34","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","32","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","26","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","28","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"Проверить: если нажать на логотип «Самоката», попадёшь на главную страницу «Самоката». после заполение первой части","876","Проверить логотип ""Самокат""","tests","2026-04-10","passed","2026-04-10","TestLogo","test_logotype","",""
"","36","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","21","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","34","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"Созадние заказа через нижнюю кнопку ""Заказать"", и отмена создания заказа","1709","Проверка создания заявки на аренду самоката через нижнюю кнопку ""Заказать""","tests","2026-04-10","passed","2026-04-10","TestPageOrder","test_page_order","",""
"","30","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","31","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"Созадние заказа через верхнюю кнопку ""Заказать""","2789","Проверка создания заявки на аренду самоката через верхнюю кнопку ""Заказать""","tests","2026-04-10","passed","2026-04-10","TestPageOrder","test_page_order","",""
"","22","Проверка, что вопросы есть на главной странице","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","32","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"Проверить: если нажать на логотип «Самоката», попадёшь на главную страницу «Самоката». после заполнение второй  части","1650","Проверить логотип ""Самокат""","tests","2026-04-10","passed","2026-04-10","TestLogo","test_logotype","",""
"","14","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","23","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","24","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"","17","Проверка выпадающего списка в разделе «Вопросы о важном»","tests","2026-04-10","passed","2026-04-10","TestPageQuestion","test_page_questions","",""
"Проверить: если нажать на логотип Яндекса, в новом окне через редирект откроется главная страница Дзена.","2085","Проверить логотип ""Яндекс""","tests","2026-04-10","passed","2026-04-10","TestLogo","test_logotype","",""
